Order No.,Client OrderID,Order Type,Sub Order Type,Customer Name,Customer Phone,GSTIN,Customer Address,Delivery Boy,Delivery Boy Number,Items,My Amount (₹),Total Discount (₹),Delivery Charge (₹),Container Charge (₹),Total Tax (₹),Round Off (₹),Grand Total (₹),Payment Type,Payment Description,Status,Created,Sequence Name
17685,,Dine In (5),Non AC,,,,,,,"Bhakri, Chicken Masala Fry, Chicken Munchow Soup, Crab Lolipop (6 Pc), Kollum Rice (Half), Signature (180 Ml), Signature (90 Ml), Soda 300ml, Soft Drink 300 Ml, Surmai Thali",1940.00,0.00,0.00,0.00,140.50,0.50,2081.00,Cash,,Printed,30 Aug 2025 14:33:41,
17684,,Dine In (2A),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:26:29,
17683,,Dine In (3),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:25:24,
17682,,Dine In (2),Non AC,,,,,,,"Chapati, Veg Thali",85.00,0.00,0.00,0.00,4.26,-0.26,89.00,Cash,,Printed,30 Aug 2025 14:22:38,
17681,215513424850298,Delivery,Konkan Swad Gomantak F - Swiggy,,,,,,,Surmai Fry (2pcs),350.00,0.00,0.00,10.00,17.50,0.50,378.00,Online,,Printed,30 Aug 2025 14:20:40,
17680,,Dine In (6),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:15:44,
17679,,Dine In (1A),Non AC,,,,,,,"Chapati, Veg Thali",100.00,0.00,0.00,0.00,5.00,0.00,105.00,Cash,,Printed,30 Aug 2025 14:12:55,
17678,,Dine In (6A),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:10:59,
17677,,Dine In (2),Non AC,,,,,,,"Bangda Thali, Chapati, Kollum Rice (Half), Roasted Papad, Solkadi",845.00,0.00,0.00,0.00,42.26,-0.26,887.00,Cash,,Printed,30 Aug 2025 14:07:25,
17676,,Dine In (1),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:06:08,
17675,,Dine In (3),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 14:03:25,
17674,,Dine In (4B),Non AC,,,,,,,"Bhakri, Veg Thali",90.00,0.00,0.00,0.00,4.50,0.50,95.00,Cash,,Printed,30 Aug 2025 13:58:32,
17673,,Dine In (4A),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:56:34,
17672,,Dine In (4),Non AC,,,,,,,"Chapati, Veg Thali",85.00,0.00,0.00,0.00,4.26,-0.26,89.00,Cash,,Printed,30 Aug 2025 13:56:14,
17671,,Dine In (3A),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:55:41,
17670,,Dine In (6A),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:55:37,
17669,,Dine In (21),AC,,,,,,,"Chapati, Fry Papad, Kollum Rice (Half), Veg Thali",342.00,0.00,0.00,0.00,17.10,-0.10,359.00,Cash,,Printed,30 Aug 2025 13:52:58,
17668,,Dine In (1),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:48:15,
17667,,Dine In (1A),Non AC,,,,,,,"Roasted Papad, Veg Thali",95.00,0.00,0.00,0.00,4.76,0.24,100.00,Cash,,Printed,30 Aug 2025 13:46:43,
17666,,Dine In (3),Non AC,,,,,,,"Chapati, Fry Papad, Veg Thali",130.00,0.00,0.00,0.00,6.50,0.50,137.00,Cash,,Printed,30 Aug 2025 13:44:49,
17665,,Dine In (6),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:35:49,
17664,7221659136,Delivery,Zomato,,,,,,,Surmai Fry (2Pcs),350.00,0.00,0.00,0.00,17.50,0.50,368.00,Online,,Printed,30 Aug 2025 13:35:16,
17663,,Dine In (4),Non AC,,,,,,,"Chicken Thali, Pomfret Thali",565.00,0.00,0.00,0.00,28.26,-0.26,593.00,Cash,,Printed,30 Aug 2025 13:33:26,
17662,,Dine In (3),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:23:23,
17661,,Dine In (2),Non AC,,,,,,,Veg Thali,140.00,0.00,0.00,0.00,7.00,0.00,147.00,Cash,,Printed,30 Aug 2025 13:21:19,
17660,,Dine In (6),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 13:16:31,
17659,,Pick Up,Pick Up,,,,,,,Bangda Tawa Fry,540.00,81.00,0.00,0.00,22.96,0.04,482.00,Cash,,Printed,30 Aug 2025 13:13:44,
17658,,Dine In (18),AC,,,,,,,"Bacardi Rum (180 Ml), Bacardi Rum (30 Ml), Kingfisher Mid (650 Ml), Soft Drink 300 Ml, Soft Drink 600 Ml",1470.00,0.00,0.00,0.00,187.50,0.50,1658.00,Cash,,Printed,30 Aug 2025 13:08:32,
17657,,Dine In (2),Non AC,,,,,,,"Chana Masala, Chapati, Fry Papad, Kollum Rice (Half)",285.00,0.00,0.00,0.00,14.26,-0.26,299.00,Cash,,Printed,30 Aug 2025 12:54:57,
17656,215506308847931,Delivery,Konkan Swad Gomantak F - Swiggy,,,,,,,"Chicken Biryani Boneless, Prawns Biryani, Solkadi",1270.00,0.00,0.00,10.00,63.50,0.50,1344.00,Online,,Cancelled,30 Aug 2025 12:22:17,
17655,,Pick Up,Pick Up,,,,,,,"Antiquity (180 Ml), Blenders Pride (180 Ml), Budwiser Mild (650 Ml), Budwiser Strong (500 ML), Calsberg Strong, Dr Brandy (180 Ml), Dsp Black (180 Ml), Dsp Black (90 Ml), Imperial Blue (180 Ml), Imperial Blue (90 Ml), Kingfisher Mid (330 Ml), Kingfisher Mid (650 Ml), Kingfisher Strong (500 ML), Kingfisher Strong (650 Ml), Lp  Strong, Lp Mild, Macdowell Rum (180 Ml), Magic Moment (180 Ml), Magic Moment Apple (180 Ml), Mc Dowell (180 Ml), Mc Dowell (90 Ml), Mc Dowell Luxury (180 Ml), Oak Smit Silver Internation (180 Ml), Oaksmith Gold 750ml, Old Monk (180 Ml), Old Monk 750ml, Packaged Water, Romanov (180 Ml), Romanov Apple (180 Ml), Royal Challenge (180 Ml), Royalstag (180 Ml), Royalstag (90 Ml), Tuborg Strong (500 ML), Tuborg Strong (650 Ml)",77800.00,0.00,0.00,0.00,22.00,0.00,77822.00,Cash,,Printed,30 Aug 2025 02:43:48,
17654,,Dine In (6C),Non AC,,,,,,,"Old Monk (180 Ml), Veg Thali",900.00,90.00,0.00,0.00,74.70,0.30,885.00,Cash,,Printed,30 Aug 2025 00:39:30,
17653,,Dine In (14),AC,,,,,,,"American Nuts Kulfi, Bhakri, Calsberg Mild, Gulab Jamun, Halwa Tawa Fry (2Pc), Kollum Rice (Half), Old Monk (60 Ml), Packaged Water, Prawns Masala Fry, Shell Fish Masala Fry",2041.00,0.00,0.00,0.00,137.56,0.44,2179.00,Cash,,Printed,30 Aug 2025 00:38:59,
17652,,Dine In (10),AC,,,,,,,"Calsberg Mild, Chicken Lolypop Full, Masala Papad, Mc Dowell (180 Ml), Mc Dowell (90 Ml), Packaged Water, Soda 300ml, Tuborg Strong (650 Ml)",1760.00,0.00,0.00,0.00,158.00,0.00,1918.00,Cash,,Printed,30 Aug 2025 00:25:34,
17651,,Pick Up,Pick Up,,,,,,,"Bhakri, Bombil Fry, Crab Meat Soup, Pomfret Masala (2 Pc), Solkadi, Surmai Tawa Fry(2Pcs)",1764.00,264.60,0.00,0.00,74.98,-0.38,1574.00,Cash,,Printed,30 Aug 2025 00:17:52,
17650,,Dine In (3),Non AC,,,,,,,Old Monk (180 Ml),380.00,0.00,0.00,0.00,38.00,0.00,418.00,Cash,,Printed,30 Aug 2025 00:17:06,
17649,,Dine In (18),AC,,,,,,,"Boiled Eggs, Budwiser Strong (500 ML), Budwiser Strong (650 Ml), Magic Moment (90 Ml), Prawns Fry, Soft Drink 300 Ml, Squid Tawa Fry",1850.00,0.00,0.00,0.00,144.50,0.50,1995.00,Cash,,Printed,30 Aug 2025 00:02:18,
17648,,Dine In (11),AC,,,,,,,"Bhakri, Packaged Water, Paneer Chilli, Prawns Masala Fry, Veg Triple Schezwan Rice",946.00,0.00,0.00,0.00,47.30,-0.30,993.00,Cash,,Printed,29 Aug 2025 23:59:50,
17647,7220345217,Delivery,Zomato,,,,,,,"Neer Dosa[2 Pcs], Paneer Ghee Roast",470.00,0.00,0.00,0.00,23.50,0.50,494.00,Online,,Printed,29 Aug 2025 23:52:14,
17646,,Dine In (5),Non AC,,,,,,,"Chicken Lolipop Half, Kingfisher Strong (650 Ml)",780.00,0.00,0.00,0.00,71.50,0.50,852.00,Cash,,Printed,29 Aug 2025 23:48:56,
